鹽,10913
水,8538
.,8484
粉,6131
麵,5722
糖,5170
醬油,4720
：,4120
米酒,4029
胡椒粉,3966
太白粉,3542
香油,3495
細砂糖,3162
奶油,2599
A,2430
B,2425
高湯,2335
蒜末,2115
絲,1998
醬,1862
末,1854
白,1789
蒜頭,1753
雞粉,1751
低筋,1731
片,1697
沙拉油,1656
紅,1144
丁,1143
薑片,1118
酒,1054
蕃茄,1054
1,1016
薑末,1011
2,1008
蠔油,991
材料,941
香菜,905
砂糖,884
鮮奶油,858
味,847
橄欖油,792
碎,756
蛋黃,747
全蛋,739
乾,732
冰糖,728
蕃茄醬,726
白醋,714
牛奶,714
蛋白,672
高筋,668
起司,668
C,667
小,667
醬油膏,650
醂,622
檸檬汁,622
糖粉,622
高麗菜,604
黑,582
黃,570
油,566
糰,560
黑胡椒,557
細糖,552
味精,536
熟,527
皮,523
胡椒,501
3,491
薑絲,490
蔥末,490
鮮奶,489
新鮮,485
泡打粉,481
包,478
葉,465
塊,464
烏醋,460
辣椒醬,459
中筋,455
麻油,455
鮮,450
蒜仁,439
素,430
沙茶,416
糊,402
魚露,402
蜂蜜,397
雞精,389
巧克力,388
美乃滋,381
五花肉,381
咖哩粉,380
牛頭,379
白酒,374
蔥頭,374
醋,370
枸杞,367
料理,363
內餡,362
罐頭,358
花椒,358
酥,357
五香粉,349
粒,346
原味,343
動物性,343
泥,341
肉,339
辣,337
滷汁,336
辣椒粉,331
噌,328
大,322
醬汁,321
蝦米,321
蒜泥,320
生,314
餡,312
紅椒,310
土司,309
精,303
甜,300
芥末,298
奶粉,297
奶水,296
西芹,296
牌,295
蛋液,291
包粉,285
滷,285
香草,273
豬,271
裝飾,268
紹興酒,265
義大利,263
肉片,263
Ａ,262
綜合,258
Ｂ,256
餡料,252
骨,248
仁,247
果糖,247
冰塊,241
段,241
汁,238
白胡椒,237
月桂,236
白砂糖,236
乳酪,233
魚片,233
4,230
辣油,228
柴,225
麥芽糖,224
香料,224
蒜片,222
魚,220
抹,215
條,215
去,213
調味料,212
D,211
鯛魚,210
咖哩,202
冷開水,200
吉利,194
露,190
青豆,189
酵母,189
嫩,188
青,185
泡菜,184
鮮雞粉,184
牛,184
甘草,182
韓式,182
沙拉醬,181
菠菜,176
里肌肉,176
料酒,173
紅酒,173
茄子,172
粗粉,172
優格,170
無鹽,169
熱水,167
生菜,167
椰奶,166
當歸,163
桂皮,163
小蘇打,162
可可粉,162
豆,160
辣醬,158
老薑,153
冷水,153
百里香,152
紅蔥,151
酸菜,149
白油,147
芝麻,147
蒟,146
蒻,145
糯米粉,144
的,143
咖啡,142
花,141
蛋糕,140
菜,139
細,136
布丁,136
鮪,135
筍絲,135
蔥絲,134
肉桂粉,134
香,134
美奶,132
主,132
火鍋,131
開水,131
茶粉,130
丁香,130
湯底,128
滋,128
日式,128
二,127
菜葉,127
黑糖,127
油蔥,126
花椒粉,126
圓,125
速溶,125
鹹,124
其他,124
蘿蔔,124
蔬菜,124
長,123
溫水,123
芽,123
涼開水,122
料,122
黑醋,122
熱開水,121
新,118
蘇打粉,117
丁片,117
淡色,117
披薩,115
紫,115
冬粉,114
薄片,113
草,113
鮮酵母,112
陳,112
鮮美,111
市售,110
椰漿,109
黃椒,109
中種,108
蜜,108
茶,108
蚵,107
海帶,106
基礎,106
蕃茄片,105
果凍,105
肉燥,105
冰水,104
柳橙汁,103
果醬,103
綠,103
薑汁,102
泰式,102
魚板,102
香茅,100
沾醬,99
Ｃ,99
韭黃,98
沙,98
粗,97
5,97
在來米,95
頭,94
草果,92
冷凍,92
紅茶,92
塔皮,91
番茄醬,91
仔魚,91
昆布,90
白糖,90
